id,response,time,correct_bool
1,$50.24 ,14.2473761,TRUE
2,December,11.647112,TRUE
3,$37.04 - $60.95,11.8625256,TRUE
4,falling,10.0747257,TRUE
5,$15 ,10.558099,TRUE
6,15 Mbps,12.9542088,TRUE
7,South Korea,12.724806,TRUE
8,2 - 20.5 Mbps,16.7753418,TRUE
9,7 countries,11.7895346,TRUE
10,$12 ,16.9922701,TRUE
11,4 to 10,16.8697131,TRUE
12,Washington D.C.,15.3190469,TRUE
13,$13 - $24.2,21.1703813,TRUE
14,TRUE,16.1398178,TRUE
15,FALSE,16.3215941,TRUE
16,38%,10.326307,TRUE
17,College Graduate,8.8631719,TRUE
18,FALSE,10.6089755,TRUE
19,25%,9.9624162,TRUE
20,Lenovo,8.068894,TRUE
21,TRUE,7.9769225,TRUE
22,153,14.0173008,TRUE
23,4.4-4.6,11.3393038,TRUE
24,TRUE,15.0114585,TRUE
25,TRUE,11.3598885,TRUE
26,Cannot be inferred,18.2897965,TRUE
27,70.5,11.5491866,TRUE
28,197.1 cm,24.5731257,TRUE
29,53.9 - 123.6 kg,10.5462217,TRUE
30,TRUE,15.0668826,TRUE
31,175.3 cm,13.716221,TRUE
32,TRUE,39.8077549,TRUE
33,FALSE,12.6678193,TRUE
34,FALSE,11.7723791,TRUE
35,$5.10 ,15.5526511,TRUE
36,Dec-14,19.0493454,TRUE
37,$4.6 - $6.0,22.3348205,TRUE
38,falling,17.5539647,TRUE
39,3 months,20.6374717,TRUE
40,"4,200",14.406645,TRUE
41,1 to 1,13.0365204,TRUE
42,2012,11.3756355,TRUE
43,"1,200 - 4,700",11.8954694,TRUE
44,rising,12.6150543,TRUE
45,TRUE,13.5610403,FALSE
46,FALSE,15.743081,TRUE
47,530 km,15.6931941,TRUE
48,New York City,13.7231017,TRUE
49,180 - 560 km,16.9318761,TRUE
50,FALSE,17.4317425,FALSE
51,New York City,18.3232373,TRUE
52,FALSE,21.6792349,TRUE
53,FALSE,18.4886437,TRUE
54,FALSE,14.3593394,TRUE
55,2.3% - 3.4%,26.2172131,FALSE
56,New Mexico (NM),9.8188827,TRUE
57,TRUE,19.7943175,TRUE
58,10%,16.3272515,TRUE
59,Google,16.5995442,TRUE
60,FALSE,18.0229262,TRUE
61,FALSE,10.3687071,TRUE
