id,response,time,correct_bool
1,$50.24 ,42.1435597,TRUE
2,December,58.8885594,TRUE
3,$35 - $65,99.7271153,FALSE
4,falling,73.5146952,TRUE
5,$15 ,39.7486674,TRUE
6,15 Mbps,66.9023603,TRUE
7,South Korea,63.8435921,TRUE
8,2 - 20.5 Mbps,93.4825941,TRUE
9,6 countries,109.7651235,FALSE
10,$12 ,56.8308423,TRUE
11,2 to 10,75.0677559,FALSE
12,New York City,36.8721362,FALSE
13,$13 - $24.2,77.9224095,TRUE
14,FALSE,55.5564882,FALSE
15,FALSE,104.6235194,TRUE
16,38%,51.9528937,TRUE
17,College Graduate,53.7188548,TRUE
18,FALSE,37.3810612,TRUE
19,25%,30.8486102,TRUE
20,Lenovo,59.8135803,TRUE
21,TRUE,37.821985,TRUE
22,200,68.557814,FALSE
23,4.4-4.6,78.4048471,TRUE
24,TRUE,81.4159028,TRUE
25,TRUE,48.8509711,TRUE
26,Cannot be inferred,112.3426915,TRUE
27,67.7 kg,230.839357,FALSE
28,197.1 cm,174.6991169,TRUE
29,53.9 - 123.6 kg,167.8518101,TRUE
30,TRUE,191.5357262,TRUE
31,193 cm,191.1551246,FALSE
32,TRUE,112.3356091,TRUE
33,FALSE,178.4337009,TRUE
34,FALSE,45.0581462,TRUE
35,$5.00 ,114.5225947,FALSE
36,14-Dec,67.8458583,TRUE
37,$4.6 - $6.1,138.0833858,FALSE
38,falling,162.1565485,TRUE
39,11,226.1471921,FALSE
40,"4,200",93.1233039,TRUE
41,1 to 1,23.7671122,TRUE
42,2012,34.8549277,TRUE
43,"3,000 - 8,700",64.2598144,FALSE
44,rising,65.756522,TRUE
45,FALSE,26.5541744,TRUE
46,FALSE,48.6050857,TRUE
47,530 km,39.1445783,TRUE
48,New York City,43.1028404,TRUE
49,180 - 560 km,61.5576145,TRUE
50,FALSE,87.317329,FALSE
51,Tokyo,93.1828976,FALSE
52,FALSE,104.1485478,TRUE
53,FALSE,80.4583774,TRUE
54,FALSE,64.520343,TRUE
55,4.6% - 5.7%,38.186782,FALSE
56,Alaska (AK),47.3685855,FALSE
57,TRUE,36.7212842,TRUE
58,10%,67.8551403,TRUE
59,Google,55.9200849,TRUE
60,FALSE,20.9548324,TRUE
61,FALSE,81.0952271,TRUE
