id,response,time,correct_bool
1,50.24,7.4191508,TRUE
2,December,6.644902,TRUE
3,$37.04 - $60.95,6.9388386,TRUE
4,falling,7.6098435,TRUE
5,$15 ,5.9899326,TRUE
6,15 Mbps,6.9548376,TRUE
7,South Korea,8.0586244,TRUE
8,2 - 20.5 Mbps,7.8603666,TRUE
9,6,7.8876219,FALSE
10,$9 ,6.805497,FALSE
11,4 to 10,5.3647447,TRUE
12,New York City,7.2978901,FALSE
13,$13 - $24.2,9.3916482,TRUE
14,FALSE,10.1128842,FALSE
15,FALSE,8.0549964,TRUE
16,38%,4.8847367,TRUE
17,College Graduate,5.5384288,TRUE
18,FALSE,5.378052,TRUE
19,25%,6.8626626,TRUE
20,Lenovo,6.036728,TRUE
21,TRUE,4.8968802,TRUE
22,390,7.8347019,FALSE
23,4.4-4.6,8.114582,TRUE
24,TRUE,13.9318046,TRUE
25,FALSE,7.630829,FALSE
26,Cannot be inferred,7.9716334,TRUE
27,53.9 kg,14.1012441,FALSE
28,196 cm,23.9913516,FALSE
29,53.9 - 123.6 kg,19.884754,TRUE
30,13,15.0064857,FALSE
31,175.3 cm,21.8383233,TRUE
32,TRUE,22.7020968,TRUE
33,FALSE,15.1658372,TRUE
34,FALSE,15.0947862,TRUE
35,5.1,11.1173599,TRUE
36,14-Dec,12.3524699,TRUE
37,$4.6 - $6.0,12.2869813,TRUE
38,falling,12.2103747,TRUE
39,5 months,14.5381931,FALSE
40,"3,800",10.1923767,FALSE
41,1 to 2,7.4784265,FALSE
42,2012,7.1482381,TRUE
43,"1,200 - 4,700",7.7456713,TRUE
44,rising,5.2567245,TRUE
45,TRUE,7.6410887,FALSE
46,FALSE,8.5341305,TRUE
47,530 km,11.2033269,TRUE
48,New York City,9.4806453,TRUE
49,180 - 560 km,9.4823603,TRUE
50,FALSE,10.1578877,FALSE
51,New York City,9.6834311,TRUE
52,FALSE,11.7541717,TRUE
53,FALSE,21.8618909,TRUE
54,FALSE,10.7383283,TRUE
55,4.6% - 5.7%,5.8248369,FALSE
56,AK; NM,5.7064827,FALSE
57,TRUE,5.1266788,TRUE
58,5%,13.7014385,FALSE
59,Google,8.9608073,TRUE
60,FALSE,8.2915395,TRUE
61,FALSE,9.9397064,TRUE
